# sourceSeal=16c2a7e window=10 draws=20 — S242/GEN-04.
# `before` counts duplicates inside the window with NO queue (what the runtime did until this packet);
# `after` counts them through drawFreshVariant. `exhausted` = pool at or below the window, which is
# GRB-04's finding and not something a queue can repair. Any `leaking` row is a mechanism bug.
generator,form,widgetType,verdict,draws,distinctWidgets,windowDuplicatesBefore,windowDuplicatesAfter,exhaustedDraws,redraws
a2-rationals,rf-multiply__buildExpression,buildExpression,clean,20,14,5,0,0,7
a2-rationals,rf-reciprocal__mcq,mcq,clean,20,14,3,0,0,9
a2-rationals,rf-simplify__numeric,numeric,clean,20,14,3,0,0,9
a2-rationals,rf-variation__mcq,mcq,clean,20,14,5,0,0,8
a2-series,sr-geo-apply__dragBucket,dragBucket,clean,20,14,5,0,0,9
a2-statistics,si-causation__mcq,mcq,clean,20,14,5,0,0,6
a2-statistics,si-claim-capstone__dragBucket,dragBucket,clean,20,14,3,0,0,4
a2-statistics,si-claim-design__mcq,mcq,clean,20,14,5,0,0,11
a2-statistics,si-margin__dragBucket,dragBucket,clean,20,14,4,0,0,9
a2-statistics,si-parameter-statistic__mcq,mcq,clean,20,14,4,0,0,11
a2-statistics,si-read-poll__mcq,mcq,clean,20,14,4,0,0,4
a2-statistics,si-sampling-dist__numeric,numeric,clean,20,14,6,0,0,13
a2-statistics,si-significance-limits__dragBucket,dragBucket,clean,20,14,4,0,0,6
a2-trig,tf-identity__mcq,mcq,clean,20,14,5,0,0,5
g10-constructions-proof,cp-conjecture-proof__numeric,numeric,clean,20,14,5,0,0,9
g10-constructions-proof,cp-converses__numeric,numeric,clean,20,14,5,0,0,9
g10-constructions-proof,cp-parallel-through-point__numeric,numeric,clean,20,14,4,0,0,10
g10-constructions-proof,cp-perp-at-point__numeric,numeric,clean,20,14,5,0,0,6
g10-constructions-proof,cp-proving-transversal__numeric,numeric,clean,20,14,4,0,0,6
g10-coordinate-proofs,cx-classify-quad__numeric,numeric,clean,20,14,5,0,0,13
g10-polygons-quadrilaterals,pq-exterior-sum__numeric,numeric,clean,20,14,2,0,0,6
g10-right-triangles,rt-454590-apply__numeric,numeric,clean,20,14,4,0,0,14
g10-right-triangles,rt-triples__numeric,numeric,clean,20,14,5,0,0,6
g10-solid-geometry,sg-cavalieri-limits__numeric,exactNumberLab,clean,20,14,6,0,0,5
g10-triangle-congruence,tc-cpctc__numeric,numeric,clean,20,14,5,0,0,6
g10-triangle-congruence,tc-triangle-inequality__numeric,numeric,clean,20,14,4,0,0,4
g12-conic-sections,conic-sections__co-hyp-ecc__numeric,numeric,clean,20,14,5,0,0,5
g12-limits-continuity,limits-continuity__lc-dne__numeric,numeric,clean,20,14,6,0,0,14
g12-polar-parametric,polar-parametric__pp-parametrize__pointEntry,pointEntry,clean,20,14,5,0,0,15
g12-polar-parametric,polar-parametric__pp-polar-system__pointEntry,pointEntry,clean,20,14,4,0,0,15
g12-polar-parametric,polar-parametric__pp-projectile__numeric,numeric,clean,20,14,4,0,0,4
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-build-mixed__numeric,exactNumberLab,clean,20,14,4,0,0,4
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-pipeline__numeric,exactNumberLab,clean,20,14,5,0,0,7
g12-trig-graphs-inverses,trig-graphs-inverses__tg-arcsin__numeric,numeric,clean,20,14,6,0,0,24
g12-trig-graphs-inverses,trig-graphs-inverses__tg-inverse-graphs__numeric,numeric,clean,20,14,4,0,0,6
g13-curve-analysis,curve-analysis__ca-inflection__numeric,numeric,clean,20,14,6,0,0,10
g13-derivative-rules,derivative-rules__dr-chain-nested__numeric,numeric,clean,20,14,4,0,0,6
g13-derivatives-in-context,derivatives-in-context__dc-related-rates__numeric,numeric,clean,20,14,4,0,0,6
g13-integration-accumulation,integration-accumulation__in-library__numeric,numeric,clean,20,14,6,0,0,7
g13-integration-applications,integration-applications__ia-disc__numeric,numeric,clean,20,14,5,0,0,7
g13-series-convergence,series-convergence__sc-taylor__numeric,numeric,clean,20,14,6,0,0,6
g10-conditional-probability,conditional-probability__cpr-conditional-table__numeric,numeric,clean,20,14,5,0,0,10
g6-data-literacy,ddStatDefinition,mcq,clean,20,15,5,0,0,8
g6-data-literacy,ddDataClassSize,numeric,clean,20,15,4,0,0,9
g6-center-spread,ddOutlierMeanShift,numeric,clean,20,15,4,0,0,4
sr-recursive,needPrior,mcq,clean,20,15,4,0,0,8
cn-conjugate,product,numeric,clean,20,15,3,0,0,4
frac-unlike-addsub,addSimplify,fractionEntry,clean,20,15,5,0,0,14
pq-trapezoid,midsegment,numeric,clean,20,15,3,0,0,3
pq-kite,kiteArea,numeric,clean,20,15,3,0,0,5
pq-para-angle,solveConsecutive,numeric,clean,20,15,5,0,0,11
coord-perimeter,trapezoidDecimal,numeric,clean,20,15,4,0,0,4
fn-evaluate,mulOnly,numeric,clean,20,15,4,0,0,8
fn-arith-seq,nthNeg,numeric,clean,20,15,5,0,0,4
poly-mul-mono,mulHigh,numeric,clean,20,15,5,0,0,11
power-product,parenPower,numeric,clean,20,15,5,0,0,10
lcm-pair,gcfContext,numeric,clean,20,15,3,0,0,3
lcm-pair,gcfThree,numeric,clean,20,15,5,0,0,5
variable-meaning,shirtsCost,numeric,clean,20,15,3,0,0,4
deriv-product,polyProduct,numeric,clean,20,15,5,0,0,8
subtract-within-20,difference,numeric,clean,20,15,5,0,0,5
probability-fraction,compound,fractionEntry,clean,20,15,5,0,0,12
coin-total,default,moneyBoard,clean,20,15,5,0,0,3
time-set-clock,halfPast,clockSet,clean,20,15,5,0,0,9
dr-power-rule,default,numeric,clean,20,15,4,0,0,6
repeat-decimal,twoDigit,quotientReasoningLab,clean,20,15,5,0,0,5
unit-frac-divide,unitDivWhole,fractionEntry,clean,20,15,4,0,0,8
whole-times-fraction,toMixed,fractionEntry,clean,20,15,3,0,0,5
hyperbola-anatomy,twoA,numeric,clean,20,15,4,0,0,4
coordinate-plot,plot,plotPoint,clean,20,15,4,0,0,5
end-behavior,vertAsymCount,numeric,clean,20,15,4,0,0,6
const-sum-rule,horizontalTangent,numeric,clean,20,15,5,0,0,12
conditional-prob,formula,numeric,clean,20,15,4,0,0,6
step-function,atBoundary,numeric,clean,20,15,4,0,0,6
step-function,absPiecewise,mcq,clean,20,15,4,0,0,6
domain-restrict,rootScaled,numeric,clean,20,15,4,0,0,5
to-polar,rPlusTheta,numeric,clean,20,15,3,0,0,9
box-volume,singleLayer,numeric,clean,20,15,2,0,0,3
fraction-volume,properFraction,numeric,clean,20,15,5,0,0,8
estimation,whenEstimate,mcq,clean,20,15,4,0,0,4
perimeter,gardenFence,numeric,clean,20,15,5,0,0,6
unit-trading,tradeThenGive,numeric,clean,20,15,5,0,0,15
mult-tens,tensProductB,numeric,clean,20,15,4,0,0,4
zero-pattern,zeroProductA,numeric,clean,20,15,5,0,0,7
line-plot,fractionRange,mcq,clean,20,15,3,0,0,5
times-2,ferryDouble,numeric,clean,20,15,4,0,0,14
commutativity,arrayBuild,buildExpression,clean,20,15,4,0,0,5
mult-patterns,halfRow,numeric,clean,20,15,4,0,0,5
pr-unit-rate-g7,rrUnitPriceCents,proportionalReasoningLab,clean,20,15,3,0,0,7
pr-constant-k-g7,rrDoubleLineReverse,numeric,clean,20,15,4,0,0,6
g7-sp-likelihood-words,spLikelihoodCertain,mcq,clean,20,15,4,0,0,17
g8-esn-place-value,esnPlacePositive,placeValueTransformLab,clean,20,15,5,0,0,7
g8-esn-root-context,esnRootSquare,numeric,clean,20,15,2,0,0,2
g8-rns-compare-estimate,rnsComparePiFraction,mcq,clean,20,15,5,0,0,6
g8-bv-fit-idea,bvFitBalance,mcq,clean,20,15,4,0,0,3
g8-bv-judge-fit,bvJudgeDistance,mcq,clean,20,15,5,0,0,10
g8-tm-sphere-volume,tmSphereApprox,numeric,clean,20,15,4,0,0,5
g8-tm-sphere-volume,tmSphereFormulaMatch,matchPairs,clean,20,15,5,0,0,8
g0-counting,countAddLine,numberLineHop,clean,20,15,4,0,0,7
g0-counting,countSubtractLine,numberLineHop,clean,20,15,4,0,0,7
g0-shapes-sorting,shapeWeightTap,tapDiagram,clean,20,15,2,0,0,2
g1-add-subtract,CountOnSmallNumeric,numeric,clean,20,15,4,0,0,4
g1-add-subtract,PartWholeNumeric,numeric,clean,20,15,4,0,0,3
g1-counting-120,MixJumpsMcq,mcq,clean,20,15,5,0,0,6
g1-counting-120,TensOnesNumeric,numeric,clean,20,15,4,0,0,4
g1-shapes-measure,Smg1HalvesFourthsMcq,mcq,clean,20,15,5,0,0,14
g1-shapes-measure,Smg1LengthDifferenceNumeric,numeric,clean,20,15,5,0,0,9
g1-shapes-measure,Smg1SolidPartsMcq,mcq,clean,20,15,3,0,0,3
g2-fluency,FlSums12Numeric,numeric,clean,20,15,4,0,0,9
g2-fluency,FlThinkAdditionNumeric,numeric,clean,20,15,5,0,0,7
g2-measure-money-time,MmtBestUnitMcq,mcq,clean,20,15,4,0,0,3
g2-measure-money-time,MmtRulerReadNumeric,numeric,clean,20,15,3,0,0,5
g3-div-fluency,DivBy89Numeric,numeric,clean,20,15,5,0,0,17
g4-lines-angles,laAngleFormationMcq,mcq,clean,20,15,5,0,0,11
g4-lines-angles,laPerpendicularLinesMcq,mcq,clean,20,15,3,0,0,7
g4-lines-angles,laSymmetryApplicationMcq,mcq,clean,20,15,3,0,0,6
g4-measure,mcProtractorReadingMcq,mcq,clean,20,15,2,0,0,8
g4-multiply,mbFactorsNumeric,numeric,clean,20,15,4,0,0,4
g4-place-million,pvAddMcq,mcq,clean,20,15,5,0,0,6
a1-exponential,exp-graph-read__numeric,exactNumberLab,clean,20,15,3,0,0,3
a1-functions-sequences,fn-common-ratio__numeric,numeric,clean,20,15,4,0,0,7
a1-functions-sequences,fn-geo-rule__numeric,numeric,clean,20,15,4,0,0,5
a1-quadratics,quad-discriminant__numeric,numeric,clean,20,15,5,0,0,8
a1-quadratics,quad-projectile__numeric,numeric,clean,20,15,5,0,0,7
a1-radicals,rad-mn-exp__numeric,exactNumberLab,clean,20,15,3,0,0,3
a2-complex,cn-formula-complex__buildExpression,buildExpression,clean,20,15,3,0,0,4
a2-complex,cn-neg-eq__buildExpression,buildExpression,clean,20,15,4,0,0,3
a2-logarithms,lg-halflife__numeric,numeric,clean,20,15,5,0,0,21
a2-polynomials,pf-factor-thm__numeric,numeric,clean,20,15,4,0,0,15
a2-polynomials,pf-zeros__buildExpression,buildExpression,clean,20,15,5,0,0,6
a2-rationals,rf-divide__buildExpression,buildExpression,clean,20,15,4,0,0,8
a2-rationals,rf-divide__mcq,mcq,clean,20,15,5,0,0,7
a2-rationals,rf-lcd__buildExpression,buildExpression,clean,20,15,5,0,0,7
a2-rationals,rf-like-denoms__numeric,exactNumberLab,clean,20,15,4,0,0,4
a2-series,sr-geo-apply__numeric,numeric,clean,20,15,5,0,0,7
a2-statistics,si-bias__dragBucket,dragBucket,clean,20,15,4,0,0,9
a2-statistics,si-bias__mcq,mcq,clean,20,15,4,0,0,9
a2-statistics,si-experiment-design__mcq,mcq,clean,20,15,5,0,0,10
a2-statistics,si-margin__mcq,mcq,clean,20,15,5,0,0,6
a2-statistics,si-null-model__dragOrder,dragOrder,clean,20,15,4,0,0,7
a2-statistics,si-pvalue-idea__mcq,mcq,clean,20,15,2,0,0,3
a2-statistics,si-sampling-variability__mcq,mcq,clean,20,15,5,0,0,6
a2-trig,tf-arc-length__numeric,numeric,clean,20,15,5,0,0,11
a2-trig,tf-model__mcq,mcq,clean,20,15,4,0,0,13
a2-trig,tf-unit-circle__mcq,mcq,clean,20,15,4,0,0,5
g10-circle-theorems,cr-tangent-perp__numeric,numeric,clean,20,15,4,0,0,5
g10-constructions-proof,cp-hexagon__numeric,numeric,clean,20,15,1,0,0,1
g10-constructions-proof,cp-perp-from-point__numeric,numeric,clean,20,15,4,0,0,9
g10-constructions-proof,cp-square-triangle__numeric,numeric,clean,20,15,4,0,0,5
g10-coordinate-proofs,cx-circle-cts__numeric,numeric,clean,20,15,5,0,0,6
g10-geometry-foundations,gf-rotational-symmetry__numeric,numeric,clean,20,15,4,0,0,7
g10-similarity,sy-criterion-choice__numeric,numeric,clean,20,15,4,0,0,5
g10-similarity,sy-dilation__numeric,numeric,clean,20,15,3,0,0,3
g10-similarity,sy-geometric-mean__numeric,numeric,clean,20,15,4,0,0,6
g10-similarity,sy-solving-right__numeric,numeric,clean,20,15,2,0,0,2
g12-function-analysis,function-analysis__fna-compose-domain__numeric,exactNumberLab,clean,20,15,4,0,0,6
g12-function-analysis,function-analysis__fna-restricted__numeric,exactNumberLab,clean,20,15,3,0,0,5
g12-limits-continuity,limits-continuity__lc-continuity__numeric,exactNumberLab,clean,20,15,5,0,0,8
g12-polar-parametric,polar-parametric__pp-roses__numeric,numeric,clean,20,15,4,0,0,3
g12-trig-graphs-inverses,trig-graphs-inverses__tg-mixed-comp__numeric,numeric,clean,20,15,3,0,0,3
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-shape__numeric,numeric,clean,20,15,5,0,0,4
g12-trig-identities-equations,trig-identities-equations__ti-pythagorean__numeric,numeric,clean,20,15,5,0,0,4
g12-vectors-matrices,vectors-matrices__vec-components__numeric,exactNumberLab,clean,20,15,3,0,0,2
g12-vectors-matrices,vectors-matrices__vec-rotation__numeric,exactNumberLab,clean,20,15,3,0,0,4
g13-derivative-rules,derivative-rules__dr-exp-log__numeric,numeric,clean,20,15,4,0,0,5
g13-derivative-rules,derivative-rules__dr-tangent-line__numeric,numeric,clean,20,15,3,0,0,15
g13-integration-accumulation,integration-accumulation__in-accumulation__numeric,numeric,clean,20,15,4,0,0,3
g13-integration-accumulation,integration-accumulation__in-net-change__numeric,numeric,clean,20,15,4,0,0,3
g10-conditional-probability,conditional-probability__cpr-overlap-count__numeric,numeric,clean,20,15,4,0,0,5
g10-conditional-probability,conditional-probability__cpr-table-union__numeric,numeric,clean,20,15,5,0,0,11
g6-center-spread,ddCompareIqr,numeric,clean,20,16,3,0,0,3
seq-recursive,geometric,numeric,clean,20,16,4,0,0,12
multiple-find,lcm,numeric,clean,20,16,2,0,0,4
frac-multiply,unitGrid,fractionGrid,clean,20,16,4,0,0,5
quad-shape-area,rectQuadratic,numeric,clean,20,16,4,0,0,4
grid-count,colTrap,numeric,clean,20,16,3,0,0,4
grid-count,colTrapRead,areaModel,clean,20,16,4,0,0,4
pq-para-angle,consecutive,numeric,clean,20,16,4,0,0,3
coord-area-box,trapezoidArea,numeric,clean,20,16,2,0,0,2
area-compose,plusSign,numeric,clean,20,16,3,0,0,3
fn-evaluate,quadPlus,numeric,clean,20,16,4,0,0,5
solve-mult-div,tickets,numeric,clean,20,16,4,0,0,7
decimal-shift-divide,shiftBoth,placeValueTransformLab,clean,20,16,4,0,0,4
power-product,sumPowers,numeric,clean,20,16,4,0,0,3
exp-function,growthModel,exactNumberLab,clean,20,16,3,0,0,8
lcm-pair,lcd,numeric,clean,20,16,3,0,0,5
limit-laws,product,numeric,clean,20,16,2,0,0,2
metric-convert,rrRateMultiply,numeric,clean,20,16,4,0,0,4
pct-of-number,rrPercentOver100,numeric,clean,20,16,3,0,0,7
unit-frac-divide,shareDenominatorNumeric,numeric,clean,20,16,3,0,0,20
frac-sign-ops,mulDiff,signedFractionLab,clean,20,16,4,0,0,3
frac-sign-ops,divDiff,signedFractionLab,clean,20,16,3,0,0,4
ecc-classify,ratioCompare,mcq,clean,20,16,4,0,0,5
coordinate-plot,segment,plotPoint,clean,20,16,4,0,0,6
coordinate-plot,cgYCoordinate,numeric,clean,20,16,2,0,0,2
critical-count,oddPowerSaddle,mcq,clean,20,16,3,0,0,3
second-deriv-poly,third,numeric,clean,20,16,4,0,0,7
triangle-area-calc,heightFromArea,numeric,clean,20,16,3,0,0,3
triangle-area-calc,slantDistractor,numeric,clean,20,16,2,0,0,4
independence-def,formulaIndependent,numeric,clean,20,16,3,0,0,4
combination-count,exactlyTwo,numeric,clean,20,16,3,0,0,10
extrema-value,absMinValue,numeric,clean,20,16,4,0,0,5
combined-shift,domainStart,numeric,clean,20,16,3,0,0,3
reflect-fn,whichReflection,mcq,clean,20,16,1,0,0,1
association-type,fromContext,mcq,clean,20,16,4,0,0,8
range-floor,allRealsRange,mcq,clean,20,16,2,0,0,3
times-nine,theaterSeats,numeric,clean,20,16,3,0,0,4
box-volume,whichMeasure,mcq,clean,20,16,4,0,0,12
round-ten,placeOnLine,numberLinePlace,clean,20,16,4,0,0,5
build-fraction,howManyUnits,numeric,clean,20,16,3,0,0,4
volume,jugCount,numeric,clean,20,16,3,0,0,4
tens-problems,chairRows,numeric,clean,20,16,1,0,0,1
line-plot,ddShapeFullStory,mcq,clean,20,16,3,0,0,3
mass,mixedTotal,numeric,clean,20,16,4,0,0,10
unknown-position,missingCount,numeric,clean,20,16,3,0,0,6
g7-scale-to-actual,drawFence,numeric,clean,20,16,3,0,0,4
g7-scaled-area,roomScaledArea,geometricConstraintLab,clean,20,16,3,0,0,6
pr-constant-k-g7,rrPartWholeMust,mcq,clean,20,16,4,0,0,6
g7-signed-multiply-divide,mulDiff,numeric,clean,20,16,3,0,0,3
g7-signed-multiply-divide,mixedMulSame,numeric,clean,20,16,4,0,0,4
g7-tse-expression-build,tseCombineDiff,buildExpression,clean,20,16,3,0,0,3
g7-tse-balance-solve,tseBalanceC,solveBalance,clean,20,16,3,0,0,3
g7-tse-inequality-build,atLeastBoundary,exactNumberLab,clean,20,16,3,0,0,3
g7-tse-inequality-build,graphBuild,numberLineRay,clean,20,16,3,0,0,4
g7-tse-inequality-build,atMostBoundary,mcq,clean,20,16,4,0,0,4
g7-sp-counting-principle,spCountOutfitsChallenge,numeric,clean,20,16,4,0,0,4
g8-esn-place-value,esnPlaceLarge,placeValueTransformLab,clean,20,16,4,0,0,8
g8-rns-compare-estimate,rnsOrderMixed,dragOrder,clean,20,16,4,0,0,6
g8-tm-rigid-motion,tmTranslateProperty,mcq,clean,20,16,3,0,0,6
g8-bv-fit-idea,bvFitDirection,mcq,clean,20,16,4,0,0,3
g8-bv-categorical-association,bvCatGroup,numeric,clean,20,16,3,0,0,7
g8-tm-cone-volume,tmConeFromCylinder,numeric,clean,20,16,4,0,0,4
k0-add-subtract,KoaSubDrawingsNumeric,numeric,clean,20,16,2,0,0,3
k0-add-subtract,KoaSubActOutNumeric,numeric,clean,20,16,4,0,0,6
k0-add-subtract,KoaWriteSubMcq,mcq,clean,20,16,4,0,0,5
k0-add-subtract,KoaHowManyLeftNumeric,numeric,clean,20,16,1,0,0,1
g0-counting,countZeroTap,tapDiagram,clean,20,16,3,0,0,6
k0-count-100,kSeqNextHop,numberLineHop,clean,20,16,3,0,0,3
k0-count-100,kSeqBeforeHop,numberLineHop,clean,20,16,4,0,0,5
g1-data,GdSortMcq,mcq,clean,20,16,3,0,0,4
g1-add-subtract,CompareNumeric,numeric,clean,20,16,4,0,0,3
g1-add-subtract,FactFamilyNumeric,numeric,clean,20,16,3,0,0,3
g1-counting-120,ChartPatternMcq,mcq,clean,20,16,3,0,0,7
g1-counting-120,CountSequenceNumberLineHop,numberLineHop,clean,20,16,4,0,0,4
g1-counting-120,TensOnesBaseTenCompose,baseTenCompose,clean,20,16,4,0,0,4
g1-shapes-measure,Smg1HalvesMcq,mcq,clean,20,16,3,0,0,9
g1-shapes-measure,Smg1ShapeSidesMcq,mcq,clean,20,16,4,0,0,8
g1-tens-ones,TnoReadExpandedNumeric,numeric,clean,20,16,4,0,0,3
g2-add-subtract-100,AddTensNumeric,numeric,clean,20,16,2,0,0,6
g2-add-subtract-100,ParitySumMcq,mcq,clean,20,16,3,0,0,6
g2-measure-money-time,MmtPictureGraphRead,graphRead,clean,20,16,4,0,0,5
g2-shapes-shares,Ssg2ThirdsCountMcq,mcq,clean,20,16,3,0,0,5
g3-mult-fluency,MultMixedLargeNumeric,numeric,clean,20,16,3,0,0,3
g3-div-fluency,DivThinkMultNumeric,numeric,clean,20,16,3,0,0,6
g3-div-fluency,DivSpecialNumeric,numeric,clean,20,16,4,0,0,12
g4-fractions,faSimplifyNumeric,numeric,clean,20,16,4,0,0,4
g4-decimals,dHundredthsWriteNumeric,numeric,clean,20,16,3,0,0,4
g4-decimals,dMeasureNumeric,numeric,clean,20,16,3,0,0,4
g4-lines-angles,laParallelPerpIdentifyMcq,mcq,clean,20,16,3,0,0,2
g4-multiply,mbPatternsNumeric,numeric,clean,20,16,4,0,0,4
a1-exponential,exp-compare__numeric,exactNumberLab,clean,20,16,2,0,0,2
a1-functions-sequences,fn-choose-formula__numeric,numeric,clean,20,16,3,0,0,3
a1-functions-sequences,fn-domain-range__mcq,mcq,clean,20,16,4,0,0,6
a1-functions-sequences,fn-geo-nth__numeric,numeric,clean,20,16,3,0,0,4
a1-quadratics,quad-zero-product__numeric,numeric,clean,20,16,2,0,0,3
a1-radicals,rad-fully-simplified__numeric,exactNumberLab,clean,20,16,4,0,0,4
a1-solving-equations,flip-rule__buildExpression,buildExpression,clean,20,16,2,0,0,2
a2-complex,cn-complex-plane__plotPoint,plotPoint,clean,20,16,3,0,0,4
a2-logarithms,lg-product__mcq,mcq,clean,20,16,4,0,0,4
a2-polynomials,pf-turning__mcq,mcq,clean,20,16,3,0,0,6
a2-polynomials,pf-zeros__numeric,numeric,clean,20,16,3,0,0,4
a2-radicals,re-conjugates__numeric,exactNumberLab,clean,20,16,3,0,0,8
a2-radicals,re-convert__numeric,exactNumberLab,clean,20,16,3,0,0,4
a2-radicals,re-rules__numeric,exactNumberLab,clean,20,16,2,0,0,2
a2-rationals,rf-unlike__buildExpression,buildExpression,clean,20,16,2,0,0,7
a2-series,sr-geo-derive__numeric,numeric,clean,20,16,4,0,0,5
a2-statistics,si-null-model__mcq,mcq,clean,20,16,4,0,0,4
a2-statistics,si-parameter-statistic__matchPairs,matchPairs,clean,20,16,2,0,0,3
a2-statistics,si-read-poll__dragOrder,dragOrder,clean,20,16,3,0,0,17
a2-statistics,si-standard-error__mcq,mcq,clean,20,16,4,0,0,6
a2-statistics,si-study-type__mcq,mcq,clean,20,16,1,0,0,1
a2-trig,tf-amp-period__numeric,numeric,clean,20,16,4,0,0,4
g10-circle-theorems,cr-arc-length__numeric,numeric,clean,20,16,4,0,0,6
g10-coordinate-proofs,cx-partition__numeric,numeric,clean,20,16,4,0,0,5
g10-geometry-foundations,gf-algebra-measures__numeric,numeric,clean,20,16,4,0,0,7
g10-geometry-foundations,gf-rotation-rule__numeric,numeric,clean,20,16,4,0,0,4
g10-right-triangles,rt-306090-apply__numeric,numeric,clean,20,16,4,0,0,5
g10-right-triangles,rt-solve-complete__numeric,numeric,clean,20,16,4,0,0,5
g10-similarity,sy-sas-similar__numeric,numeric,clean,20,16,3,0,0,3
g10-similarity,sy-sss-similar__numeric,numeric,clean,20,16,3,0,0,8
g10-solid-geometry,sg-composite-add__numeric,exactNumberLab,clean,20,16,4,0,0,4
g10-solid-geometry,sg-density__numeric,exactNumberLab,clean,20,16,2,0,0,2
g12-conic-sections,conic-sections__co-hyp-ecc__mcq,mcq,clean,20,16,3,0,0,2
g12-function-analysis,function-analysis__fna-compose-order__numeric,exactNumberLab,clean,20,16,3,0,0,3
g12-function-analysis,function-analysis__fna-decompose__numeric,exactNumberLab,clean,20,16,4,0,0,4
g12-limits-continuity,limits-continuity__lc-discontinuity__numeric,numeric,clean,20,16,4,0,0,5
g12-limits-continuity,limits-continuity__lc-series-limit__mcq,mcq,clean,20,16,4,0,0,5
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-slant-find__numeric,exactNumberLab,clean,20,16,3,0,0,7
g12-trig-graphs-inverses,trig-graphs-inverses__tg-four-dials__numeric,numeric,clean,20,16,3,0,0,4
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-transform__numeric,numeric,clean,20,16,3,0,0,5
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-values__mcq,mcq,clean,20,16,4,0,0,3
g12-trig-identities-equations,trig-identities-equations__ti-tan-cofunction__numeric,numeric,clean,20,16,4,0,0,8
g12-vectors-matrices,vectors-matrices__vec-angle__numeric,numeric,clean,20,16,3,0,0,3
g12-vectors-matrices,vectors-matrices__vec-applications__numeric,exactNumberLab,clean,20,16,2,0,0,2
g12-vectors-matrices,vectors-matrices__vec-direction__numeric,exactNumberLab,clean,20,16,3,0,0,6
g12-vectors-matrices,vectors-matrices__vec-scalar__numeric,exactNumberLab,clean,20,16,3,0,0,3
g13-derivatives-in-context,derivatives-in-context__dc-differentials__numeric,exactNumberLab,clean,20,16,3,0,0,3
g13-derivatives-in-context,derivatives-in-context__dc-ladder__numeric,numeric,clean,20,16,1,0,0,1
g13-differential-equations,differential-equations__de-exponential__numeric,numeric,clean,20,16,3,0,0,10
g13-differential-equations,differential-equations__de-logistic__numeric,numeric,clean,20,16,4,0,0,6
g13-integration-accumulation,integration-accumulation__in-signed-area__numeric,numeric,clean,20,16,3,0,0,2
g13-parametric-polar-calculus,parametric-polar-calculus__pc-parametric-derivative__numeric,numeric,clean,20,16,3,0,0,2
g13-series-convergence,series-convergence__sc-radius__numeric,numeric,clean,20,16,3,0,0,4
g10-conditional-probability,conditional-probability__cpr-joint-prob__numeric,numeric,clean,20,16,4,0,0,9
g6-data-literacy,ddHistEqualBins,mcq,clean,20,17,1,0,0,1
parabola-shifted,focusY,numeric,clean,20,17,3,0,0,7
ellipse-axes,majorLength,numeric,clean,20,17,1,0,0,1
sr-recursive,affine,numeric,clean,20,17,3,0,0,8
cn-i-def,computePlus,numeric,clean,20,17,2,0,0,4
cn-cts-vertex,yCoord,numeric,clean,20,17,3,0,0,4
two-step-arith,shareThenLeader,numeric,clean,20,17,3,0,0,4
frac-unlike-addsub,addBare,fractionEntry,clean,20,17,2,0,0,2
frac-unlike-addsub,subBare,fractionEntry,clean,20,17,2,0,0,3
frac-multiply,bareMultiply,fractionEntry,clean,20,17,3,0,0,5
pq-trapezoid,largestAngle,numeric,clean,20,17,2,0,0,7
pq-para-side,perimeter,numeric,clean,20,17,3,0,0,2
gf-angle-add,rightAnglePiece,numeric,clean,20,17,2,0,0,2
partial-products,bareChallenge,numeric,clean,20,17,3,0,0,3
fn-arith-seq,nextUp,numeric,clean,20,17,3,0,0,4
solve-mult-div,verifyMul,numeric,clean,20,17,2,0,0,4
negative-intro,compareNegatives,rationalCompare,clean,20,17,2,0,0,3
negative-intro,compareMixedSign,rationalCompare,clean,20,17,2,0,0,2
fraction-of,bareOf,numeric,clean,20,17,3,0,0,6
grouping-first,groupDiv,exactNumberLab,clean,20,17,2,0,0,2
grouping-first,powerMulEval,evalOrder,clean,20,17,2,0,0,4
decimal-mul-places,bareMul,numeric,clean,20,17,3,0,0,5
variable-meaning,busOff,numeric,clean,20,17,3,0,0,3
variable-meaning,tripleMinusEval,numeric,clean,20,17,3,0,0,3
variable-meaning,linearRelation,numeric,clean,20,17,1,0,0,1
arith-series,secondForm,numeric,clean,20,17,3,0,0,8
limit-laws,polySub,numeric,clean,20,17,1,0,0,1
metric-convert,rrMetricDivide,numeric,clean,20,17,2,0,0,4
unit-frac-divide,wholeCountNumeric,numeric,clean,20,17,2,0,0,3
unit-frac-divide,unitDenominatorNumeric,numeric,clean,20,17,3,0,0,13
unit-frac-divide,sameDenomCount,numeric,clean,20,17,3,0,0,3
unit-frac-divide,divideFractionNumerator,quotientReasoningLab,clean,20,17,2,0,0,2
whole-times-fraction,mixedProduct,fractionEntry,clean,20,17,1,0,0,2
decimal-representation,moneyHundredths,numeric,clean,20,17,2,0,0,2
decimal-representation,wordBuildMixed,buildExpression,clean,20,17,2,0,0,1
decimal-representation,wordToDecimal,numeric,clean,20,17,2,0,0,4
line-plot-frac,difference,fractionEntry,clean,20,17,2,0,0,2
