# sourceSeal=16c2a7e window=10 draws=20 — S242/GEN-04.
# `before` counts duplicates inside the window with NO queue (what the runtime did until this packet);
# `after` counts them through drawFreshVariant. `exhausted` = pool at or below the window, which is
# GRB-04's finding and not something a queue can repair. Any `leaking` row is a mechanism bug.
generator,form,widgetType,verdict,draws,distinctWidgets,windowDuplicatesBefore,windowDuplicatesAfter,exhaustedDraws,redraws
k0-add-subtract,KoaPutTogetherNumeric,numeric,clean,20,11,8,0,0,43
g1-shapes-measure,Smg1HalvesFractionBar,fractionBar,clean,20,11,7,0,0,35
g2-fluency,FlSums16Numeric,numeric,clean,20,11,7,0,0,12
g4-lines-angles,laSymmetryConceptMcq,mcq,clean,20,11,6,0,0,8
a1-exponential,exp-match-base__numeric,exactNumberLab,clean,20,11,9,0,0,15
a2-logarithms,lg-define__numeric,exactNumberLab,clean,20,11,7,0,0,76
a2-polynomials,pf-grouping__buildExpression,buildExpression,clean,20,11,7,0,0,11
a2-polynomials,pf-sketch__buildExpression,buildExpression,clean,20,11,8,0,0,10
a2-radicals,re-solve__numeric,exactNumberLab,clean,20,11,9,0,0,19
a2-statistics,si-bias-vs-variability__mcq,mcq,clean,20,11,8,0,0,13
a2-trig,tf-solve-sides__numeric,numeric,clean,20,11,8,0,0,47
g12-polar-parametric,polar-parametric__pp-circles__numeric,numeric,clean,20,11,8,0,0,11
g12-polar-parametric,polar-parametric__pp-circles__pointEntry,pointEntry,clean,20,11,8,0,0,18
g12-polar-parametric,polar-parametric__pp-parametrize__numeric,numeric,clean,20,11,9,0,0,14
g12-trig-graphs-inverses,trig-graphs-inverses__tg-arccos__numeric,numeric,clean,20,11,7,0,0,28
g13-derivative-rules,derivative-rules__dr-implicit__numeric,numeric,clean,20,11,8,0,0,19
g13-derivatives-in-context,derivatives-in-context__dc-speed__numeric,numeric,clean,20,11,8,0,0,19
g13-integration-accumulation,integration-accumulation__in-squeeze__numeric,numeric,clean,20,11,8,0,0,16
g10-conditional-probability,conditional-probability__cpr-indep-vs-disjoint__numeric,numeric,clean,20,11,8,0,0,20
g6-data-literacy,ddStatFixedFact,mcq,clean,20,12,6,0,0,19
g6-data-literacy,ddPipelineBreak,mcq,clean,20,12,8,0,0,18
g6-data-literacy,ddReadyQuestion,mcq,clean,20,12,8,0,0,24
sr-recursive,geometric,numeric,clean,20,12,6,0,0,17
cn-sum-product,conjProduct,numeric,clean,20,12,7,0,0,10
gf-segment-add,halfToWhole,numeric,clean,20,12,7,0,0,7
equiv-test,combineCheck,numeric,clean,20,12,8,0,0,26
decimal-align-addsub,changeBack,numeric,clean,20,12,7,0,0,15
power-ten-exponent,negMultiply,placeValueTransformLab,clean,20,12,7,0,0,17
metric-convert,rrDirectionMcq,mcq,clean,20,12,4,0,0,9
count-on-line,teen,numberLineHop,clean,20,12,7,0,0,11
neg-rational-exp,default,fractionEntry,clean,20,12,8,0,0,16
unit-frac-divide,word,fractionEntry,clean,20,12,6,0,0,31
unit-frac-divide,servingsNumeric,numeric,clean,20,12,7,0,0,9
fraction-meaning,complement,fractionEntry,clean,20,12,6,0,0,7
count-prob,exactlyTwo,numeric,clean,20,12,8,0,0,18
times-five-ten,clockElapsed,numeric,clean,20,12,6,0,0,7
fraction-volume,halfCubes,numeric,clean,20,12,8,0,0,10
line-of-fit,interceptZero,affineRelationshipLab,clean,20,12,6,0,0,6
set-ops,unionCount,numeric,clean,20,12,7,0,0,27
shape-hierarchy,cgRhombusRectangleSometimes,shapeHierarchyLab,clean,20,12,7,0,0,9
pictograph,halfSymbol,numeric,clean,20,12,6,0,0,9
bar-graph,halfScale,numeric,clean,20,12,7,0,0,8
addition-patterns,doubleDiagonal,numeric,clean,20,12,8,0,0,28
pr-unit-rate-g7,lapsWholeB,numeric,clean,20,12,8,0,0,60
pr-unit-rate-g7,recipeWhole,numeric,clean,20,12,7,0,0,20
pr-unit-rate-g7,mixedWhole,numeric,clean,20,12,6,0,0,34
g7-tse-expression-build,tseDistPosA,buildExpression,clean,20,12,7,0,0,14
g8-esn-power-meaning,esnPowerNegative,numeric,clean,20,12,7,0,0,42
g8-esn-root-context,esnRootCube,numeric,clean,20,12,7,0,0,16
g8-rns-root-estimate,rnsRoundC,numeric,clean,20,12,7,0,0,27
g8-tm-pythagorean-why,tmPythCSquaredA,geometricConstraintLab,clean,20,12,7,0,0,10
g8-tm-pythagorean-why,tmPythCSquaredB,geometricConstraintLab,clean,20,12,6,0,0,14
g8-tm-congruence,tmCongruenceMeaning,mcq,clean,20,12,7,0,0,16
g8-tm-dilation-similarity,tmSimilarFactor,numeric,clean,20,12,6,0,0,15
g8-tm-angle-angle,tmAAScale,geometricConstraintLab,clean,20,12,7,0,0,17
g8-les-substitution-method,lesSubstituteMultiple,numeric,clean,20,12,7,0,0,19
g8-fn-function-definition,fgSortFunctionRules,dragBucket,clean,20,12,7,0,0,30
k0-add-subtract,KoaFingersNumeric,numeric,clean,20,12,7,0,0,16
k0-add-subtract,KoaDrawingsNumeric,numeric,clean,20,12,7,0,0,14
k0-add-subtract,KoaZeroFactNumeric,numeric,clean,20,12,7,0,0,22
g1-counting-120,To120Mcq,mcq,clean,20,12,6,0,0,13
g2-fluency,FlAcrossTenNumeric,numeric,clean,20,12,8,0,0,21
g2-shapes-shares,Ssg2GridApplyNumeric,numeric,clean,20,12,7,0,0,9
g4-decimals,dTrailingZeroRational,rationalCompare,clean,20,12,5,0,0,18
g4-measure,mcDegreeMeasurementMcq,mcq,clean,20,12,8,0,0,14
g4-measure,mcFractionMeasurementNumeric,numeric,clean,20,12,7,0,0,11
g4-measure,mcLinePlotQuestionsNumeric,numeric,clean,20,12,8,0,0,12
a1-radicals,rad-perfect-square__numeric,exactNumberLab,clean,20,12,6,0,0,24
a1-radicals,rad-unit-fraction-exp__numeric,exactNumberLab,clean,20,12,7,0,0,27
a1-solving-equations,literal-frac__mcq,mcq,clean,20,12,7,0,0,14
a1-solving-equations,multi-literal__mcq,mcq,clean,20,12,6,0,0,7
a2-logarithms,lg-e-solve__numeric,numeric,clean,20,12,5,0,0,48
a2-logarithms,lg-e__mcq,mcq,clean,20,12,7,0,0,19
a2-polynomials,pf-div-theorems__mcq,mcq,clean,20,12,7,0,0,14
a2-radicals,re-extraneous__mcq,mcq,clean,20,12,8,0,0,13
a2-radicals,re-models__mcq,mcq,clean,20,12,8,0,0,26
a2-radicals,re-power-solve__numeric,exactNumberLab,clean,20,12,6,0,0,10
a2-rationals,rf-equations__buildExpression,buildExpression,clean,20,12,6,0,0,16
a2-series,sr-sigma-write__numeric,numeric,clean,20,12,5,0,0,6
a2-statistics,si-causation__dragBucket,dragBucket,clean,20,12,7,0,0,13
a2-statistics,si-sampling-dist__mcq,mcq,clean,20,12,7,0,0,15
a2-statistics,si-study-type__matchPairs,matchPairs,clean,20,12,6,0,0,7
g10-circle-theorems,cr-thales__numeric,numeric,clean,20,12,6,0,0,10
g10-right-triangles,rt-pythagorean-leg__numeric,numeric,clean,20,12,7,0,0,18
g10-similarity,sy-proportions-figures__numeric,numeric,clean,20,12,8,0,0,10
g10-triangle-congruence,tc-hl__numeric,numeric,clean,20,12,7,0,0,14
g10-triangle-congruence,tc-isosceles-converse__numeric,numeric,clean,20,12,6,0,0,9
g12-function-analysis,function-analysis__fna-inverse-verify__numeric,exactNumberLab,clean,20,12,6,0,0,13
g12-function-analysis,function-analysis__fna-inverse-verify__pointEntry,pointEntry,clean,20,12,7,0,0,17
g12-polar-parametric,polar-parametric__pp-eliminate__numeric,numeric,clean,20,12,5,0,0,5
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-boundary-rule__numeric,numeric,clean,20,12,6,0,0,24
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rearrange__numeric,numeric,clean,20,12,5,0,0,13
g12-trig-graphs-inverses,trig-graphs-inverses__tg-composition-trap__numeric,numeric,clean,20,12,6,0,0,8
g13-curve-analysis,curve-analysis__ca-three-charts__numeric,numeric,clean,20,12,8,0,0,16
g13-derivative-rules,derivative-rules__dr-critical-point__numeric,numeric,clean,20,12,8,0,0,8
g13-derivative-rules,derivative-rules__dr-derivative-function__numeric,numeric,clean,20,12,6,0,0,10
g13-derivative-rules,derivative-rules__dr-differentiability__numeric,numeric,clean,20,12,7,0,0,22
g13-derivative-rules,derivative-rules__dr-sign-of-derivative__numeric,numeric,clean,20,12,7,0,0,18
g13-differential-equations,differential-equations__de-separable__numeric,numeric,clean,20,12,5,0,0,10
g13-integration-accumulation,integration-accumulation__in-ftc1__numeric,numeric,clean,20,12,5,0,0,16
g13-integration-accumulation,integration-accumulation__in-read-accumulation__numeric,numeric,clean,20,12,6,0,0,12
g13-series-convergence,series-convergence__sc-power-ops__numeric,numeric,clean,20,12,8,0,0,18
g10-conditional-probability,conditional-probability__cpr-marginal-prob__numeric,numeric,clean,20,12,5,0,0,25
g6-data-literacy,ddStatRewrite,mcq,clean,20,13,7,0,0,13
g6-data-literacy,ddDataMixedQuestions,mcq,clean,20,13,6,0,0,19
cn-cts-vertex,minValue,numeric,clean,20,13,5,0,0,4
pq-trapezoid,isoscelesTop,numeric,clean,20,13,5,0,0,10
pq-para-side,algPerimeter,numeric,clean,20,13,7,0,0,14
poly-mul-mono,mulNeg,numeric,clean,20,13,6,0,0,15
linear-predict,halfSlope,numeric,clean,20,13,6,0,0,13
metric-convert,rrCompareUnits,mcq,clean,20,13,7,0,0,13
in-definite-power,default,numeric,clean,20,13,4,0,0,10
frac-sign-ops,divSame,signedFractionLab,clean,20,13,7,0,0,17
decimal-representation,wordBuildSimple,buildExpression,clean,20,13,5,0,0,17
proportional-plot,cgPairValue,numeric,clean,20,13,6,0,0,10
tree-chain,mixedOrder,numeric,clean,20,13,5,0,0,15
tree-chain,atLeastOneBlue,numeric,clean,20,13,4,0,0,16
domain-restrict,excludeZero,numeric,clean,20,13,6,0,0,12
equal-parts,cutsToPieces,numeric,clean,20,13,7,0,0,7
attributes,cgSquareExtra,mcq,clean,20,13,7,0,0,9
shape-hierarchy,cgInheritProperty,shapeHierarchyLab,clean,20,13,5,0,0,8
shape-hierarchy,cgInheritanceDirection,shapeHierarchyLab,clean,20,13,6,0,0,16
distributive,factSplit,numeric,clean,20,13,4,0,0,5
g7-vertical-angles,acrossAlgebra,geometricConstraintLab,clean,20,13,5,0,0,13
pr-constant-k-g7,rrRatioBuild,buildExpression,clean,20,13,7,0,0,10
pr-graph-rate-g7,graphStoryPlot,plotPoint,clean,20,13,7,0,0,13
pr-percent-change-g7,percentDecrease,numeric,clean,20,13,7,0,0,8
g7-sp-counting-principle,spCountCoinDieReal,compoundEventLab,clean,20,13,7,0,0,8
g7-complementary,cornerThree,numeric,clean,20,13,5,0,0,9
g8-esn-power-meaning,esnPowerZero,numeric,clean,20,13,4,0,0,8
g8-tm-rigid-motion,tmRotateProperty,mcq,clean,20,13,5,0,0,14
g8-bv-fit-idea,bvFitTouch,mcq,clean,20,13,7,0,0,14
g8-les-substitution-method,lesSubstituteMultipleB,numeric,clean,20,13,6,0,0,19
g8-les-systems-word,lesWordLarger,affineRelationshipLab,clean,20,13,6,0,0,21
k0-add-subtract,KoaActOutNumeric,numeric,clean,20,13,7,0,0,12
k0-add-subtract,KoaSpeedy5Numeric,numeric,clean,20,13,6,0,0,17
g0-shapes-sorting,shapePositionTap,tapDiagram,clean,20,13,6,0,0,15
g0-shapes-sorting,shapeSortFrame,tenFrame,clean,20,13,5,0,0,15
k0-count-100,kCountBackHop,numberLineHop,clean,20,13,6,0,0,6
g1-data,GdTallyMakeNumeric,numeric,clean,20,13,5,0,0,32
g2-add-subtract-100,OddEvenOddEvenPairs,oddEvenPairs,clean,20,13,7,0,0,9
g3-mult-fluency,MultDeriveNumeric,numeric,clean,20,13,6,0,0,14
g3-div-fluency,DivBy45Numeric,numeric,clean,20,13,7,0,0,35
g4-place-million,pvCommaPeriodsMcq,mcq,clean,20,13,6,0,0,11
a1-polynomials,poly-special-products__numeric,numeric,clean,20,13,6,0,0,22
a1-solving-equations,both-sides-inequality__mcq,mcq,clean,20,13,7,0,0,20
a2-complex,cn-cts-solve__mcq,mcq,clean,20,13,7,0,0,14
a2-transformations,ft-arith__mcq,mcq,clean,20,13,5,0,0,12
a2-transformations,ft-inverse-graph__mcq,mcq,clean,20,13,4,0,0,7
a2-transformations,ft-inverse-graph__numeric,numeric,clean,20,13,5,0,0,9
a2-logarithms,lg-evaluate__numeric,exactNumberLab,clean,20,13,6,0,0,10
a2-logarithms,lg-ln__mcq,mcq,clean,20,13,5,0,0,9
a2-logarithms,lg-power__buildExpression,buildExpression,clean,20,13,6,0,0,25
a2-polynomials,pf-long-div__mcq,mcq,clean,20,13,6,0,0,11
a2-rationals,rf-equations__mcq,mcq,clean,20,13,6,0,0,10
a2-rationals,rf-equations__numeric,numeric,clean,20,13,6,0,0,16
a2-rationals,rf-simplify__buildExpression,buildExpression,clean,20,13,7,0,0,10
a2-series,sr-inf-apply__numeric,numeric,clean,20,13,5,0,0,6
a2-statistics,si-ci-meaning__matchPairs,matchPairs,clean,20,13,7,0,0,16
a2-statistics,si-ci-meaning__mcq,mcq,clean,20,13,6,0,0,16
a2-statistics,si-claim-capstone__mcq,mcq,clean,20,13,6,0,0,9
a2-statistics,si-claim-design__matchPairs,matchPairs,clean,20,13,7,0,0,16
a2-statistics,si-claim-overreach__mcq,mcq,clean,20,13,6,0,0,8
a2-statistics,si-read-poll__dragBucket,dragBucket,clean,20,13,6,0,0,8
a2-statistics,si-significance-limits__mcq,mcq,clean,20,13,6,0,0,12
g10-polygons-quadrilaterals,pq-interior-sum__numeric,numeric,clean,20,13,5,0,0,13
g10-polygons-quadrilaterals,pq-para-tests__numeric,numeric,clean,20,13,6,0,0,8
g10-right-triangles,rt-trig-constant__numeric,numeric,clean,20,13,6,0,0,8
g10-similarity,sy-indirect__numeric,numeric,clean,20,13,7,0,0,9
g10-similarity,sy-side-splitter__numeric,numeric,clean,20,13,5,0,0,13
