# sourceSeal=6477125 — S242. `content`/`content-2` were declared in BOTH tailwind colors and
# fontSize, so `text-content-2` emitted a colour rule AND `font-size:1.125rem`. Equal specificity,
# so the LATER rule won, and Tailwind sorts font-size utilities lexicographically by class suffix.
# verdict=overridden -> the size the author wrote never took effect. verdict=survived -> it did.
file,line,token,sizeAsked,verdict,snippet
src/world/Basecamp.tsx,113,text-content-2,text-sm,survived,"mt-1 text-sm text-content-2"
src/world/Basecamp.tsx,132,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/world/Basecamp.tsx,151,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
src/world/Basecamp.tsx,156,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/world/Basecamp.tsx,176,text-content-2,text-xs,survived,"text-xs font-bold tabular-nums text-content-2"
src/world/Basecamp.tsx,203,text-content-2,text-xs,survived,"text-xs tabular-nums text-content-2"
src/world/Basecamp.tsx,220,text-content-2,text-sm,survived,"mt-2 max-w-2xl text-sm text-content-2"
src/world/FieldJournal.tsx,50,text-content-2,text-sm,survived,"mt-2 space-y-1 text-sm text-content-2"
src/world/FieldJournal.tsx,56,text-content-2,text-xs,survived,"mt-3 text-xs text-content-2"
src/world/FieldJournalClient.tsx,30,text-content-2,text-sm,survived,"text-sm text-content-2"
src/world/Instruments.tsx,42,text-content-2,text-sm,survived,"text-sm text-content-2"
src/world/Instruments.tsx,55,text-content-2,text-sm,survived,"mt-1 text-sm text-content-2"
src/world/Instruments.tsx,57,text-content-2,text-xs,survived,"mt-1 text-xs text-content-2"
src/world/ReturnPaths.tsx,31,text-content-2,text-sm,survived,"text-sm text-content-2"
src/world/ReturnPaths.tsx,45,text-content-2,text-xs,survived,"block text-xs capitalize text-content-2"
src/world/ReturnPaths.tsx,47,text-content-2,text-xs,survived,"text-xs text-content-2"
src/world/Trailhead.tsx,115,text-content-2,text-sm,survived,"text-sm text-content-2"
src/world/Trailhead.tsx,135,text-content-2,text-xs,survived,"text-xs font-extrabold uppercase tracking-wide text-content-2"
src/world/Trailhead.tsx,138,text-content-2,text-xs,survived,"text-xs font-bold text-content-2"
src/world/Trailhead.tsx,142,text-content-2,text-xs,survived,"text-xs font-bold text-content-2"
src/world/Trailhead.tsx,146,text-content-2,text-xs,survived,"text-xs font-bold text-content-2"
src/world/Trailhead.tsx,150,text-content-2,text-xs,survived,"text-xs font-bold text-content-2"
src/world/Trailhead.tsx,174,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/world/Trailhead.tsx,180,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/world/Trailhead.tsx,186,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/world/Trailhead.tsx,190,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
src/world/Trailhead.tsx,197,text-content-2,text-xs,survived,"text-xs text-content-2"
src/world/Trailhead.tsx,207,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/world/Trailhead.tsx,213,text-content-2,text-xs,survived,"block text-xs text-content-2"
src/world/WorldModePreferences.tsx,30,text-content-2,text-xs,survived,"block text-xs text-content-2"
