widget_type,lesson,step,tone,pairs,detail
accumulateArea,in-02-03,i1,error,1,"\"f — the height\" [26.0..126.8 @2.2] overlaps \"f = 3\" [32.0..68.0 @3.2] by 36.0×11.6 units"
accumulateArea,in-02-03,i1,info,1,"\"f — the height\" [26.0..126.8 @2.2] overlaps \"f = 3\" [32.0..68.0 @3.2] by 36.0×11.6 units"
secantSlope,lc-05-02,i1,info,1,"\"target zone\" [106.4..193.6 @15.2] overlaps \"tangent slope 6\" [166.0..274.0 @6.2] by 27.6×3.6 units"
lineExplore,lf-03-01,i1,info,1,"\"run 1\" [141.7..181.3 @153.2] overlaps \"target\" [158.0..205.5 @154.2] by 23.3×12.9 units"
lineExplore,lf-04-02,i1,info,1,"\"run 1\" [141.7..181.3 @153.2] overlaps \"target\" [158.0..205.5 @154.2] by 23.3×12.9 units"
angleMeasure,la-01-02,e1,info,1,"\"60\" [214.3..228.7 @19.4] overlaps \"target\" [216.0..259.2 @30.3] by 12.7×1.7 units"
lengthCompare,mmt-02-02,i2,info,1,"\"pencil — 6 inches\" [18.0..140.4 @11.2] overlaps \"the overhang is 3 inches\" [75.0..265.0 @3.2] by 65.4×5.9 units"
lengthCompare,mmt-02-02,i3,info,1,"\"marker — 12 inches\" [18.0..147.6 @11.2] overlaps \"the overhang is 7 inches\" [75.0..265.0 @3.2] by 72.6×5.9 units"
lengthCompare,mmt-05-03,i2,info,1,"\"Tuesday — 7 votes\" [18.0..140.4 @11.2] overlaps \"the overhang is 4 votes\" [78.9..261.1 @3.2] by 61.5×5.9 units"
absValueLine,ns-05-02,k2,neutral,1,"\"−51\" [12.3..31.7 @105.2] overlaps \"−50\" [16.5..38.1 @104.2] by 15.2×11.3 units"
absValueLine,ns-05-02,k2,error,1,"\"−51\" [12.3..31.7 @105.2] overlaps \"−50\" [16.5..38.1 @104.2] by 15.2×11.3 units"
absValueLine,ns-05-02,k2,info,1,"\"−51\" [12.3..31.7 @105.2] overlaps \"−50\" [16.5..38.1 @104.2] by 15.2×11.3 units"
vectorExplore,pc-03-01,i1b,neutral,1,"\"v\" [136.0..143.9 @114.2] overlaps \"u + v\" [136.0..175.6 @112.2] by 7.9×11.9 units"
vectorExplore,pc-03-01,i1b,error,1,"\"v\" [136.0..143.9 @114.2] overlaps \"u + v\" [136.0..175.6 @112.2] by 7.9×11.9 units"
vectorExplore,pc-03-01,i1b,info,1,"\"v\" [136.0..143.9 @114.2] overlaps \"u + v\" [136.0..175.6 @112.2] by 7.9×11.9 units"
argandExplore,pp-03-02,i1,neutral,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,pp-03-02,i1,error,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,pp-03-02,i1,info,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
angleMeasure,pq-01-02,i1,info,1,"\"60\" [214.3..228.7 @19.4] overlaps \"target\" [216.0..259.2 @30.3] by 12.7×1.7 units"
trialProbabilityLab,sp-03-02,i2,info,1,"\"given theoretical 1/6\" [28.4..179.6 @98.2] overlaps \"target 1/5\" [83.6..155.6 @94.2] by 72.0×8.6 units"
trialProbabilityLab,sp-03-02,ch1,info,1,"\"given theoretical 1/2\" [106.4..257.6 @98.2] overlaps \"target 3/5\" [177.2..249.2 @94.2] by 72.0×8.6 units"
trialProbabilityLab,sp-03-03,ch1,info,1,"\"given theoretical 1/2\" [106.4..257.6 @98.2] overlaps \"target 3/5\" [177.2..249.2 @94.2] by 72.0×8.6 units"
taylorApprox,sc-02-01,i1,info,1,"\"target: 5 terms\" [177.2..296.0 @3.2] overlaps \"the polynomial (1 terms)\" [24.0..196.8 @4.2] by 19.6×12.6 units"
taylorApprox,sc-03-01,i1,info,2,"\"radius\" [249.0..292.2 @16.2] overlaps \"target: 6 terms\" [177.2..296.0 @3.2] by 43.2×0.9 units | \"target: 6 terms\" [177.2..296.0 @3.2] overlaps \"the polynomial (1 terms)\" [24.0..196.8 @4.2] by 19.6×12.6 units"
lengthCompare,smg1-03-02,i1,info,1,"\"pencil — 5 paperclips\" [18.0..169.2 @11.2] overlaps \"the overhang is 2 paperclips\" [59.1..280.9 @3.2] by 110.1×5.9 units"
lengthCompare,smg1-03-02,i2,info,1,"\"book — 8 blocks\" [18.0..126.0 @11.2] overlaps \"the overhang is 5 blocks\" [75.0..265.0 @3.2] by 51.0×5.9 units"
lengthCompare,smg1-03-02,i3,info,1,"\"spoon — 6 cubes\" [18.0..126.0 @11.2] overlaps \"the overhang is 4 cubes\" [78.9..261.1 @3.2] by 47.1×5.9 units"
vectorExplore,vec-02-02,i1,info,1,"\"v here\" [165.5..208.7 @146.4] overlaps \"u\" [193.0..200.9 @142.7] by 7.9×10.1 units"
vectorExplore,vec-03-01,i1,info,1,"\"u·v = 25\" [193.0..250.6 @38.2] overlaps \"u\" [193.0..200.9 @38.2] by 7.9×12.6 units"
vectorExplore,vec-03-03,i1,info,1,"\"u·v = 12\" [193.0..250.6 @114.2] overlaps \"u\" [212.0..219.9 @114.2] by 7.9×12.6 units"

# per-engine totals (colliding pairs across all specs x 3 tones)
# circleMeasureExplore,9
# argandExplore,9
# lengthCompare,6
# vectorExplore,6
# conicLocusLab,5
# graphStoryLab,5
# angleMeasure,4
# slider,3
# secantSlope,3
# triangleClosureLab,3
# accumulateArea,3
# absValueLine,3
# trialProbabilityLab,3
# taylorApprox,3
# lineExplore,2
# circleAngleExplore,1
# specs swept: 11947; renders failed: 0; unmodellable texts: 288
