# sourceSeal=f881875 generatedBy=scripts/audit/math-surface-inventory.mts
# kind=routed: text passed through the boundary, with the includeArithmetic setting of that call site.
# kind=bypass-suspect: a spec/step field interpolated straight into JSX whose name is also seen carrying math shorthand.
# kind=field: a spec field observed holding math shorthand in authored content or generated output.
# STATIC SCAN. A field reached via a variable, a helper or dangerouslySetInnerHTML is invisible here:
# this finds bypasses, it does not prove their absence.
kind,file,line,detail,arithmetic,example
routed,src/components/widgets.tsx,4085,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4248,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4355,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4387,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,4432,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4572,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4740,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4841,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,4963,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5076,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5231,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5330,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5466,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5575,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5716,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,5909,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6044,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6316,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6621,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6702,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6744,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,6777,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6799,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6816,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,6845,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,6882,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,6955,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,7049,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,7123,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,7231,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,7406,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,7670,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8063,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8187,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8253,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8286,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8302,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8363,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8363,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8379,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8379,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8395,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8437,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8518,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8531,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8580,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8627,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8713,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8726,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,8776,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,8941,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9069,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9165,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9238,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9324,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9455,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9567,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9639,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9713,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9806,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,9924,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,10016,MathProse,off,<MathProse text={option.label} /
routed,src/components/widgets.tsx,10062,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,10137,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,10253,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,10353,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,10438,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,10966,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,11282,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,11361,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,11506,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,11626,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,11870,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,11922,MathProse,off,<MathProse text={spec.signRegionFeedback} /
routed,src/components/widgets.tsx,12007,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12124,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12246,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12434,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12468,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12574,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12688,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12831,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,12985,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,13119,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,13284,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,13886,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,14128,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,14256,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,14382,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,14702,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,14872,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15083,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15135,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15257,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15260,MathProse,off,<MathProse text={it.label} /
routed,src/components/widgets.tsx,15277,MathProse,off,<MathProse text={b.label} /
routed,src/components/widgets.tsx,15353,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15594,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15725,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15849,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15900,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,15975,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16107,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,16143,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16264,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16349,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16542,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16722,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16868,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,16959,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17150,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17256,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17417,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17557,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17668,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17753,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,17911,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18043,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18118,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18292,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18358,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18397,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18423,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18445,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18459,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18480,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18499,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,18517,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18523,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18525,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18528,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18542,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18581,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18635,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18645,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,18673,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18721,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18745,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18765,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18769,MathDisplay,off,"<MathDisplay tex={`\\int ${coefficient}x(x^2+1)^{${power}}\\,dx`} /"
routed,src/components/widgets.tsx,18770,MathDisplay,off,"<MathDisplay tex={""u=x^2+1,\\qquad du=2x\\,dx""} /"
routed,src/components/widgets.tsx,18774,MathDisplay,off,"<MathDisplay tex={`\\int ${uCoefficientTex}u^{${power}}\\,du`} /"
routed,src/components/widgets.tsx,18775,MathDisplay,off,<MathDisplay tex={`=${antiCoefficientTex}u^{${power+1}}+C`} /
routed,src/components/widgets.tsx,18792,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18840,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,18885,MathProse,off,<MathProse text={spec.prompt} /
bypass-suspect,src/app/(shell)/practice/[chapterId]/page.tsx,40,id,,{lesson.id}
bypass-suspect,src/app/(shell)/teach/TeachClient.tsx,336,label,,{o.label}
bypass-suspect,src/components/widgets.tsx,8824,icon,,{spec.icon}
bypass-suspect,src/components/widgets.tsx,16082,label,,{choice.label}
bypass-suspect,src/components/widgets.tsx,16087,label,,{choice.label}
bypass-suspect,src/world/WorldModePreferences.tsx,29,label,,{option.label}
field,,,widget.prompt,,3254 occurrence(s): Which is equivalent to |x| ≥ 2?
field,,,widget.commonErrors[].feedback,,"2941 occurrence(s): That treats the center as −1. The inside is x − 1, so the cases are x − 1 = ±4 and the neg"
field,,,widget.fallbackFeedback,,"2064 occurrence(s): 4 satisfies x ≥ 0, so use 2x + 1: 2(4) + 1 = 9."
field,,,widget.options[].label,,2062 occurrence(s): x ≤ −2 or x ≥ 2
field,,,widget.options[].feedback,,2042 occurrence(s): Equal distance would need equal magnitudes: 6 ≠ 4.
field,,,widget.successFeedback,,1174 occurrence(s): 1 — the boundary itself. Real definitions close that gap with a ≤ or ≥ on one side.
field,,,body,,641 occurrence(s): So two numbers can share a distance while disagreeing about everything else. |−6| = |6| = 
field,,,hints[],,640 occurrence(s): Then subtract the triangular corner cut off: 1/2 × 8 × 3.
field,,,widget.numericErrors[].feedback,,"575 occurrence(s): 24 is the RECTANGLE's area with these same legs, forgetting the triangle halves it: 1/2 × "
field,,,widget.choices[].feedback,,"463 occurrence(s): 22.5 applies the TRIANGLE's ×1/2 — but a parallelogram is the full rectangle, no halving: "
field,,,widget.commonBuilds[].feedback,,"367 occurrence(s): The root still applies to 49: √49 = 7, so 7i."
