# sourceSeal=1a717ad generatedBy=scripts/audit/math-presentation-indexes.mts
# Implementation-form mathematics that survives tokenization and reaches the screen as written.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,ee-01-03,i1,widget.tokens[3],arithmetic-off,raw caret,,^,^
authored,ee-01-03,k2,widget.tokens[3],arithmetic-off,raw caret,,^,^
authored,re-05-02,k2,widget.missFeedback,arithmetic-off,raw caret,,Raise both sides to the : x = ^() = — the even numerator admits both signs.,Raise both sides to the 3/2: x = ±16^(3/2) = ±64 — the even numerator admits both signs.
generated,grouping-first,powerMulEval,widget.tokens[3],arithmetic-off,raw caret,grouping-first|powerMulEval|support|0,^,^
generated,a1-polynomials,poly-special-products__numeric,widget.successFeedback,arithmetic-off,asterisk multiplication,a1-polynomials|poly-special-products__numeric|support|0,The constant product is 5 * (-5).,The constant product is 5 * (-5).
